"JOB","FILE","stageName","Stagetype"
"Jx_REPART_05_CONVERT_CSV_XLS_IDE12"," ","SF_EXTRACT_BI_IDE12","Output"
"Jx_TRACO_05_RAP_OEUVCTX_INFOAD_KEYLIG","DS_05_RAP_OEUVCTX_INFOAD_KEYLIG.ds","DS_05_RAP_OEUVCTX_INFOAD_KEYLIG","Input"
"Jx_TRACO_05_RAP_OEUVCTX_INFOAD_KEYLIG","DS_02_EXTR_PENEF_KEYLIG.ds","DS_02_EXTR_PENEF_KEYLIG","Output"
"Jx_TRACO_05_RAP_OEUVCTX_INFOAD_KEYLIG","DS_04_RAP_OEUVCTX_INFOAD.ds","DS_04_RAP_OEUVCTX_INFOAD","Output"
"Jx_TRACO_01_EXTR_PENEF_INFOAD","DS_01_EXTR_PENEF_INFOAD.ds","DS_01_EXTR_PENEF_INFOAD","Input"
"Jx_TRACO_01_EXTR_PENEF_INFOAD","647_INFO_AD.csv","SF_Extract_INFOAD","Output"
"Jx_TRACO_01_EXTR_PENEF_INFOAD","_20190521112120.csv","SF_REJETS_BL_OSCAR","Input"
"Jx_TRACO_01_EXTR_PENEF_INFOAD_FILTRE","DS_01_EXTR_PENEF_INFOAD_FILTRE.ds","DS_01_EXTR_PENEF_INFOAD_FILTRE","Input"
"Jx_TRACO_01_EXTR_PENEF_INFOAD_FILTRE","DS_01_EXTR_PENEF_INFOAD.ds","DS_01_EXTR_PENEF_INFOAD","Output"
"Jx_TRACO_01_EXTR_PENEF_INFOAD_FILTRE","SF_01_EXTR_PENEF_INFOAD_FILTRE.csv","SF_01_EXTR_PENEF_INFOAD_FILTRE","Input"
"Jx_TRACO_01_APP_WEBDR_ELIZA_PT","DS_01_EXTR_ELIZAT_PROG_OEUV_PT.ds","DS_01_EXTR_ELIZAT_PROG_OEUV_PT","Output"
"Jx_TRACO_01_APP_WEBDR_ELIZA_PT","SF_02_APP_WEBDR_ELIZA_PT.csv","SF_ListeProgJauneAvecType_Glbl","Input"
"Jx_TRACO_01_APP_WEBDR_ELIZA_PT","LISTE_PROG_ELIZA_WEBDRPAR_LISTE_PROG_ELIZA_WEBDR","SF_ListeProgJauneAvecType","Input"
"Jx_TRACO_01_APP_WEBDR_ELIZA_PT","DS_01_APP_WEBDR_ELIZA_PT.ds","DS_01_APP_WEBDR_ELIZA_PT","Input"
"Jx_TRACO_01_APP_WEBDR_ELIZA_PT","DS_01_EXTR_CTRL_WEBDR.ds","DS_01_EXTR_CTRL_WEBDR","Output"
