Projet,job,file,stage,idIO,typeIO
SUPprd,CopyOfJx_FEUILLET_01_CHG_CPTRENDU,\(2)\(2)0\(1)\(3)file \(2)#PAR_PATH_COMPTE_RENDU##PAR_FIC_CPTE_RENDU_REJETS_BL#.csv\(2)0,CPTE_RENDU_REJETS,V0S39P1,CustomOutput
SUPprd,CopyOfJx_FEUILLET_01_CHG_CPTRENDU,/work/home/dsint1/applications/sup/feuillet/datastage/temp/PAR_FIC_CPTE_RENDU_REJETS_NB#.ds,Data_Set_56,V0S56P1,CustomInput
SUPprd,CopyOfJx_FEUILLET_01_CHG_CPTRENDU,\(2)\(2)0\(1)\(3)file \(2)#PAR_PATH_COMPTE_RENDU##PAR_FIC_CPTE_RENDU_REJETS_NB#.csv\(2)0,CPTE_RENDU_REJETS_INFO,V108S0P1,CustomOutput
SUPprd,CopyOfJx_FEUILLET_04_APP_ROUTAGE_EDIT_RELEVE,#PAR_PATH_DATASET#DS_RAP_ROUTAGE_EDIT_OSCAR_PENEF.ds,DS_RAP_ROUTAGE_EDIT_OSCAR_PENEF,V121S0P1,CustomOutput
SUPprd,CopyOfJx_FEUILLET_04_APP_ROUTAGE_EDIT_RELEVE,#PAR_PATH_DATASET#DS_RAP_ROUTAGE_EDIT_OSCAR_PENEF_RELEVE.ds,DS_RAP_ROUTAGE_EDIT_OSCAR_PENEF_RELEVE,V89S0P1,CustomInput
SUPprd,CopyOfJx_FEUILLET_04_APP_ROUTAGE_EDIT_RELEVE,#PAR_PATH_DATASET##PAR_FIC_COPSS_RELEVE#.ds,DS_FIC_COPSS_RELEVE,V91S0P1,CustomOutput
SUPprd,CopyOfJx_FEUILLET_04_APP_ROUTAGE_EDIT_RELEVE,\(2)\(2)0\(1)\(3)file\(2)#PAR_PATH_REJETS#REJETS_NB_FONC_04_APP_#PAR_FIC_COPSS_ROUTAGE_EDIT#_#PAR_FIC_COPSS_RELEVE#.csv\(2)0,SF_REJETS_NB_RAP_ROUTAGE_RELEVE,V92S0P2,CustomInput
SUPprd,CopyOfJx_FEUILLET_04_APP_ROUTAGE_EDIT_RELEVE,\(2)\(2)0\(1)\(3)file\(2)#PAR_PATH_REJETS#REJETS_BL_FONC_04_APP_#PAR_FIC_COPSS_ROUTAGE_EDIT#_#PAR_FIC_COPSS_RELEVE#.csv\(2)0,SF_REJETS_BL_RAP_RELEVE_ROUTAGE_EDIT,V94S0P1,CustomInput
SUPprd,CopyOfJx_GEN_Chargement_csv_in_ds,\(2)\(2)0\(1)\(3)file \(2)#ParRepSource##ParIdentification#\(2)0,Seq_Input_CSV,V0S0P1,CustomOutput
SUPprd,CopyOfJx_GEN_Chargement_csv_in_ds,#ParRepDataset##ParIdentification#.ds,Ds_Output,V2S1P1,CustomInput
SUPprd,CopyOfJx_GEN_Chargement_ds_in_ora,#ParRepDataset##ParIdentification#.ds,Ds_In,V0S1P1,CustomOutput
SUPprd,CopyOfJx_REPART_01_EXTR_BI_IDE12,#PAR_PATH_DATASET#DS_EXTRACT_BI_IDE12_GLBL.ds,DS_EXTRACT_BI_IDE12_FR,V129S0P2,CustomInput
SUPprd,CopyOfJx_REPART_01_EXTR_BI_IDE121,\(2)\(2)0\(1)\(3)file\(2)#PAR_PATH_INI##PAR_FIC_LISTE_COAD_IDE12_FR#\(2)0,SF_Liste_COAD_IDE12_FR,V0S56P1,CustomInput
SUPprd,CopyOfJx_REPART_01_EXTR_BI_IDE121,#PAR_PATH_DATASET#DS_EXTRACT_BI_IDE12_FR.ds,DS_EXTRACT_BI_IDE12_FR,V129S0P2,CustomInput
SUPprd,CopyOfJx_REPART_01_EXTR_BI_IDE121,\(2)\(2)0\(1)\(3)file\(2)#PAR_PATH_INI##PAR_FIC_LISTE_COAD_IDE12_EN#\(2)0,SF_Liste_COAD_IDE12_EN,V130S0P2,CustomInput
SUPprd,CopyOfJx_REPART_01_EXTR_BI_IDE121,#PAR_PATH_DATASET#DS_EXTRACT_BI_IDE12_EN.ds,DS_EXTRACT_BI_IDE12_EN,V131S0P1,CustomInput
SUPprd,CopyOfJx_REPART_01_EXTR_BI_IDE121,#PAR_PATH_DATASET#DS_EXTRACT_BI_IDE12_GLBL.ds,DS_EXTRACT_BI_IDE12_GLBL,V134S0P1,CustomOutput
SUPprd,CopyOfJx_REPART_01_EXTR_BI_IDE12CMPLX,\(2)\(2)0\(1)\(3)file\(2)#PAR_PATH_INI##PAR_FIC_LISTE_COAD_IDE12CMPLX_FR#\(2)0,SF_Liste_COAD_IDE12CMPLX_FR,V0S56P1,CustomInput
SUPprd,CopyOfJx_REPART_01_EXTR_BI_IDE12CMPLX,#PAR_PATH_DATASET#DS_EXTRACT_BI_IDE12CMPLX_EN.ds,DS_EXTRACT_BI_IDE12CMPLX_EN,V103S2P1,CustomInput
SUPprd,CopyOfJx_REPART_01_EXTR_BI_IDE12CMPLX,\(2)\(2)0\(1)\(3)file\(2)#PAR_PATH_INI##PAR_FIC_LISTE_COAD_IDE12CMPLX_EN#\(2)0,SF_Liste_COAD_IDE12CMPLX_EN,V129S0P1,CustomInput
SUPprd,CopyOfJx_REPART_01_EXTR_BI_IDE12CMPLX,#PAR_PATH_DATASET#DS_EXTRACT_BI_IDE12CMPLX_FR.ds,DS_EXTRACT_BI_IDE12CMPLX_FR,V130S0P2,CustomInput
SUPprd,CopyOfJx_REPART_03_CALC_MT_OEUV_GENERE_CSV,\(2)\(2)0\(1)\(3)file\(2)#PAR_PATH_RESULTAT#SF_EXTRACT_BI_IDE12CMPLX_TOT.csv\(2)0,SF_IDE12CMPLX_avec_ligne_total,V0S82P1,CustomInput
SUPprd,CopyOfJx_REPART_03_CALC_MT_OEUV_GENERE_CSV,\(2)\(2)0\(1)\(3)file\(2)#PAR_PATH_RESULTAT#/IDE12/SF_EXTRACT_BI_IDE12.csv\(2)0,SF_EXTRACT_BI_IDE12,V0S83P1,CustomInput
SUPprd,CopyOfJx_REPART_03_CALC_MT_OEUV_GENERE_CSV,#PAR_PATH_DATASET#DS_EXTRACT_BI_IDE12CMPLX.ds,DS_EXTRACT_BI_IDE12CMPLX,V110S0P1,CustomOutput
SUPprd,CopyOfJx_REPART_03_CALC_MT_OEUV_GENERE_CSV,#PAR_PATH_DATASET#DS_EXTRACT_BI_IDE12.ds,DS_EXTRACT_BI_IDE12,V113S0P1,CustomOutput
SUPprd,CopyOfJx_REPART_03_CALC_MT_OEUV_GENERE_CSV,\(2)\(2)0\(1)\(3)file\(2)#PAR_PATH_RESULTAT#SF_EXTRACT_BI_IDE12CMPLX_AGG.csv\(2)0,SF_EXTRACT_BI_IDE12CMPLX_AGG,V114S0P1,CustomInput
SUPprd,CopyOfJx_REPART_03_CALC_MT_OEUV_GENERE_CSV,\(2)\(2)0\(1)\(3)file\(2)#PAR_PATH_RESULTAT#SF_EXTRACT_BI_IDE12CMPLX.csv\(2)0,SF_IDE12CMPLX_sans_ligne_total,V115S0P1,CustomInput
SUPprd,CopyOfJx_REPART_05_CONVERT_CSV_XLS_IDE12,\(2)\(2)0\(1)\(3)file \(2)#PAR_PATH_RESULTAT_IDE12#OM-#PAR_NUM_REPART#-#PAR_NUM_COAD#.csv\(2)0,SF_EXTRACT_BI_IDE12,V115S1P2,CustomOutput
SUPprd,CopyOfJx_TRACO_02_EXTR_PENEL_DATDECL_IDFIC_IDEXPLOIT,#PAR_PATH_DATASET#DS_02_EXTR_PENEL_DATDECL_IDFIC_IDEXPLOIT.ds,DS_02_EXTR_PENEL_DATDECL_IDFIC_IDEXPLOIT,V141S1P1,CustomInput
SUPprd,CopyOfJx_TRACO_02_EXTR_PENEL_DATDECL_IDFIC_IDEXPLOIT,\(2)\(2)0\(1)\(3)file\(2)#PAR_PATH_INI##PAR_LISTE_IDEXPLOIT_PENEL#\(2)0,SF_ListeIdExploit,V142S0P2,CustomInput
