Projet,job,file,truefile,stage,idIO,typeIO
SUPprd,Jx_REPART_05_CONVERT_CSV_XLS_IDE12,\(2)\(2)0\(1)\(3)file \(2)#PAR_PATH_RESULTAT_IDE12#OM-#PAR_NUM_REPART#-#PAR_NUM_COAD#.csv\(2)0, ,SF_EXTRACT_BI_IDE12,V115S1P2,Source
SUPprd,Jx_TRACO_05_RAP_OEUVCTX_INFOAD_KEYLIG,#PAR_PATH_DATASET#DS_05_RAP_OEUVCTX_INFOAD_KEYLIG.ds,/work/home/dsprd1/applications/sup/traco/datastage/dataset/DS_05_RAP_OEUVCTX_INFOAD_KEYLIG.ds,DS_05_RAP_OEUVCTX_INFOAD_KEYLIG,V138S17P1,Cible
SUPprd,Jx_TRACO_05_RAP_OEUVCTX_INFOAD_KEYLIG,#PAR_PATH_DATASET#DS_02_EXTR_PENEF_KEYLIG.ds,/work/home/dsprd1/applications/sup/traco/datastage/dataset/DS_02_EXTR_PENEF_KEYLIG.ds,DS_02_EXTR_PENEF_KEYLIG,V139S3P1,Source
SUPprd,Jx_TRACO_05_RAP_OEUVCTX_INFOAD_KEYLIG,#PAR_PATH_DATASET#DS_04_RAP_OEUVCTX_INFOAD.ds,/work/home/dsprd1/applications/sup/traco/datastage/dataset/DS_04_RAP_OEUVCTX_INFOAD.ds,DS_04_RAP_OEUVCTX_INFOAD,V141S0P2,Source
SUPprd,Jx_TRACO_01_EXTR_PENEF_INFOAD,#PAR_PATH_DATASET#DS_01_EXTR_PENEF_INFOAD.ds,/work/home/dsprd1/applications/sup/traco/datastage/dataset/DS_01_EXTR_PENEF_INFOAD.ds,DS_01_EXTR_PENEF_INFOAD,V101S0P2,Cible
SUPprd,Jx_TRACO_01_EXTR_PENEF_INFOAD,\(2)\(2)0\(1)\(3)file \(2)#PAR_PATH_SOURCES##PAR_FIC_INFOAD#_#PAR_NUM_REPART#_INFO_AD.csv\(2)0,FF_PENEF_647_INFO_AD.csv/647_INFO_AD.csv,SF_Extract_INFOAD,V77S0P1,Source
SUPprd,Jx_TRACO_01_EXTR_PENEF_INFOAD,\(2)\(2)0\(1)\(3)file\(2)#PAR_PATH_REJETS#REJ_#PAR_FIC_SELDR#_20190521112120.csv\(2)0,/work/home/dsprd1/applications/sup/traco/datastage/rejets/_20190521112120.csv,SF_REJETS_BL_OSCAR,V98S0P1,Cible
SUPprd,Jx_TRACO_01_EXTR_PENEF_INFOAD_FILTRE,#PAR_PATH_DATASET#DS_01_EXTR_PENEF_INFOAD_FILTRE.ds,/work/home/dsprd1/applications/sup/traco/datastage/dataset/DS_01_EXTR_PENEF_INFOAD_FILTRE.ds,DS_01_EXTR_PENEF_INFOAD_FILTRE,V0S64P1,Cible
SUPprd,Jx_TRACO_01_EXTR_PENEF_INFOAD_FILTRE,#PAR_PATH_DATASET#DS_01_EXTR_PENEF_INFOAD.ds,/work/home/dsprd1/applications/sup/traco/datastage/dataset/DS_01_EXTR_PENEF_INFOAD.ds,DS_01_EXTR_PENEF_INFOAD,V101S0P3,Source
SUPprd,Jx_TRACO_01_EXTR_PENEF_INFOAD_FILTRE,\(2)\(2)0\(1)\(3)file\(2)#PAR_PATH_RESULTAT#SF_01_EXTR_PENEF_INFOAD_FILTRE.csv\(2)0,/work/home/dsprd1/applications/sup/traco/datastage/resultats/SF_01_EXTR_PENEF_INFOAD_FILTRE.csv,SF_01_EXTR_PENEF_INFOAD_FILTRE,V98S0P1,Cible
SUPprd,Jx_TRACO_01_APP_WEBDR_ELIZA_PT,#PAR_PATH_DATASET#DS_01_EXTR_ELIZAT_PROG_OEUV_PT.ds,/work/home/dsprd1/applications/sup/traco/datastage/dataset/DS_01_EXTR_ELIZAT_PROG_OEUV_PT.ds,DS_01_EXTR_ELIZAT_PROG_OEUV_PT,V121S0P1,Source
SUPprd,Jx_TRACO_01_APP_WEBDR_ELIZA_PT,\(2)\(2)0\(1)\(3)file\(2)#PAR_PATH_SOURCES#SF_02_APP_WEBDR_ELIZA_PT.csv\(2)0,/work/home/dsprd1/applications/sup/traco/datastage/sources/SF_02_APP_WEBDR_ELIZA_PT.csv,SF_ListeProgJauneAvecType_Glbl,V127S0P1,Cible
SUPprd,Jx_TRACO_01_APP_WEBDR_ELIZA_PT,\(2)\(2)0\(1)\(3)file\(2)#PAR_PATH_INI##PAR_LISTE_PROG_ELIZA_WEBDR#\(2)0,/work/home/dsprd1/applications/sup/traco/datastage/ini/LISTE_PROG_ELIZA_WEBDRPAR_LISTE_PROG_ELIZA_WEBDR,SF_ListeProgJauneAvecType,V127S4P2,Cible
SUPprd,Jx_TRACO_01_APP_WEBDR_ELIZA_PT,#PAR_PATH_DATASET#DS_01_APP_WEBDR_ELIZA_PT.ds,/work/home/dsprd1/applications/sup/traco/datastage/dataset/DS_01_APP_WEBDR_ELIZA_PT.ds,DS_01_APP_WEBDR_ELIZA_PT,V127S5P1,Cible
SUPprd,Jx_TRACO_01_APP_WEBDR_ELIZA_PT,#PAR_PATH_DATASET#DS_01_EXTR_CTRL_WEBDR.ds,/work/home/dsprd1/applications/sup/traco/datastage/dataset/DS_01_EXTR_CTRL_WEBDR.ds,DS_01_EXTR_CTRL_WEBDR,V91S0P1,Source
SUPprd,Jx_TRACO_02_EXTR_PENEL_DATDECL_IDFIC_IDEXPLOIT,#PAR_PATH_DATASET#DS_02_EXTR_PENEL_DATDECL_IDFIC_IDEXPLOIT.ds,/work/home/dsprd1/applications/sup/traco/datastage/dataset/DS_02_EXTR_PENEL_DATDECL_IDFIC_IDEXPLOIT.ds,DS_02_EXTR_PENEL_DATDECL_IDFIC_IDEXPLOIT,V141S1P1,Cible
SUPprd,Jx_TRACO_02_EXTR_PENEL_DATDECL_IDFIC_IDEXPLOIT,\(2)\(2)0\(1)\(3)file\(2)#PAR_PATH_INI##PAR_LISTE_IDEXPLOIT_PENEL#\(2)0,/work/home/dsprd1/applications/sup/traco/datastage/ini/LISTE_IDEXPLOIT_PENELPAR_LISTE_IDEXPLOIT_PENEL,SF_ListeIdExploit,V142S0P2,Cible
SUPprd,Jx_TRACO_02_EXTR_PENEL_DATDECL_IDFIC_IDEXPLOIT,#PAR_PATH_DATASET#DS_07_RAP_WEBDR_ELIZA_PIVOT_OK.ds,/work/home/dsprd1/applications/sup/traco/datastage/dataset/DS_07_RAP_WEBDR_ELIZA_PIVOT_OK.ds,DS_07_RAP_WEBDR_ELIZA_PIVOT_OK,V145S0P1,Source
SUPprd,Jx_FEUILLET_01_CTRL_OSCAR,#PAR_PATH_DATASET##PAR_FIC_OSCAR#.ds,/work/home/dsprd1/applications/sup/feuillet/datastage/dataset/FF_EXTRACT_POPULATION_OSCAR.ds,DS_FIC_OSCAR,V101S0P2,Cible
SUPprd,Jx_FEUILLET_01_CTRL_OSCAR,\(2)\(2)0\(1)\(3)file \(2)#PAR_PATH_SOURCES##PAR_FIC_OSCAR#_#PAR_OSCAR_DATIME#.csv\(2)0,/work/home/dsprd1/applications/sup/feuillet/datastage/sources/FF_EXTRACT_POPULATION_OSCAR/20190619010010.csv,SF_FIC_OSCAR,V77S0P1,Source
SUPprd,Jx_FEUILLET_01_CTRL_OSCAR,\(2)\(2)0\(1)\(3)file\(2)#PAR_PATH_REJETS#REJETS_BL_TECH_01_CTL_#PAR_FIC_OSCAR#.csv\(2)0,/work/home/dsprd1/applications/sup/feuillet/datastage/rejets/FF_EXTRACT_POPULATION_OSCAR.csv,SF_REJETS_BL_OSCAR,V98S0P1,Cible
SUPprd,Jx_FEUILLET_02_CTRL_COPSS_ROUTAGE_EDIT,#PAR_PATH_DATASET##PAR_FIC_COPSS_ROUTAGE_EDIT#.ds,/work/home/dsprd1/applications/sup/feuillet/datastage/dataset/ROUTAG_FEUILLETN_EDIT_REQ.ds,DS_FIC_COPSS_ROUTAGE_EDIT,V0S2P1,Cible
SUPprd,Jx_FEUILLET_02_CTRL_COPSS_ROUTAGE_EDIT,\(2)\(2)0\(1)\(3)file\(2)#PAR_PATH_REJETS#REJETS_BL_TECH_02_CTL_#PAR_FIC_COPSS_ROUTAGE_EDIT#.csv\(2)0,/work/home/dsprd1/applications/sup/feuillet/datastage/rejets/ROUTAG_FEUILLETN_EDIT_REQ.csv,SF_REJETS_BL_ROUTAGE_EDIT,V55S0P1,Cible
SUPprd,Jx_FEUILLET_02_CTRL_COPSS_ROUTAGE_EDIT,\(2)\(2)0\(1)\(3)file \(2)#PAR_PATH_SOURCES#FF_COPSS_#PAR_NUM_REPART#_#PAR_FIC_COPSS_ROUTAGE_EDIT#.txt\(2)0,/work/home/dsprd1/applications/sup/feuillet/datastage/sources/647/ROUTAG_FEUILLETN_EDIT_REQ.txt,SF_FIC_COPSS_ROUTAGE_EDIT,V77S0P1,Source
SUPprd,Jx_FEUILLET_03_CTRL_COPSS_ROUTAGE_GED,#PAR_PATH_DATASETS##PAR_FIC_COPSS_ROUTAGE_GED#.ds,AD_FEUILLETN_GED_REQ.ds,DS_FIC_COPSS_ROUTAGE_GED,V0S2P1,Cible
SUPprd,Jx_FEUILLET_03_CTRL_COPSS_ROUTAGE_GED,\(2)\(2)0\(1)\(3)file\(2)#PAR_PATH_REJETS#REJETS_BL_TECH_03_CTL_#PAR_FIC_COPSS_ROUTAGE_GED#.csv\(2)0,/work/home/dsprd1/applications/sup/feuillet/datastage/rejets/AD_FEUILLETN_GED_REQ.csv,SF_REJETS_BL_ROUTAGE_GED,V55S0P1,Cible
SUPprd,Jx_FEUILLET_03_CTRL_COPSS_ROUTAGE_GED,\(2)\(2)0\(1)\(3)file \(2)#PAR_PATH_SOURCES#FF_COPSS_#PAR_NUM_REPART#_#PAR_FIC_COPSS_ROUTAGE_GED#.txt\(2)0,/work/home/dsprd1/applications/sup/feuillet/datastage/sources/647/AD_FEUILLETN_GED_REQ.txt,SF_FIC_COPSS_ROUTAGE_GED,V77S0P1,Source
SUPprd,Jx_FEUILLET_04_CTRL_COPSS_RELEVE,#PAR_PATH_DATASET##PAR_FIC_COPSS_RELEVE#.ds,/work/home/dsprd1/applications/sup/feuillet/datastage/dataset/DFN001.ds,DS_FIC_COPSS_RELEVE,V0S2P1,Cible
SUPprd,Jx_FEUILLET_04_CTRL_COPSS_RELEVE,\(2)\(2)0\(1)\(3)file\(2)#PAR_PATH_REJETS#REJETS_BL_TECH_04_CTL_#PAR_FIC_COPSS_RELEVE#.csv\(2)0,/work/home/dsprd1/applications/sup/feuillet/datastage/rejets/DFN001.csv,SF_REJETS_BL_RELEVE,V55S0P1,Cible
SUPprd,Jx_FEUILLET_04_CTRL_COPSS_RELEVE,\(2)\(2)0\(1)\(3)file \(2)#PAR_PATH_SOURCES##PAR_FIC_COPSS_RELEVE#.txt\(2)0,/work/home/dsprd1/applications/sup/feuillet/datastage/sources/DFN001.txt,SF_FIC_COPSS_RELEVE,V77S0P1,Source
SUPprd,Jx_FEUILLET_05_CTRL_COPSS_DECOMPTE,#PAR_PATH_DATASET##PAR_FIC_COPSS_DECOMPTE#.ds,/work/home/dsprd1/applications/sup/feuillet/datastage/dataset/DFN003.ds,DS_FIC_COPSS_DECOMPTE,V0S2P1,Cible
SUPprd,Jx_FEUILLET_05_CTRL_COPSS_DECOMPTE,\(2)\(2)0\(1)\(3)file\(2)#PAR_PATH_REJETS#REJETS_BL_TECH_05_CTL_#PAR_FIC_COPSS_DECOMPTE#.csv\(2)0,/work/home/dsprd1/applications/sup/feuillet/datastage/rejets/DFN003.csv,SF_REJETS_BL_DECOMPTE,V55S0P1,Cible
SUPprd,Jx_FEUILLET_05_CTRL_COPSS_DECOMPTE,\(2)\(2)0\(1)\(3)file \(2)#PAR_PATH_SOURCES##PAR_FIC_COPSS_DECOMPTE#.txt\(2)0,/work/home/dsprd1/applications/sup/feuillet/datastage/sources/DFN003.txt,SF_FIC_COPSS_DECOMPTE,V77S0P1,Source
SUPprd,Jx_FEUILLET_06_CTRL_COPSS_AUTOFACT,#PAR_PATH_DATASET##PAR_FIC_COPSS_AUTOFACT#.ds,/work/home/dsprd1/applications/sup/feuillet/datastage/dataset/DFN004.ds,DS_FIC_COPSS_AUTOFACT,V0S2P1,Cible
SUPprd,Jx_FEUILLET_06_CTRL_COPSS_AUTOFACT,\(2)\(2)0\(1)\(3)file\(2)#PAR_PATH_REJETS#REJETS_BL_TECH_06_CTL_#PAR_FIC_COPSS_AUTOFACT#.csv\(2)0,/work/home/dsprd1/applications/sup/feuillet/datastage/rejets/DFN004.csv,SF_REJETS_BL_AUTOFACT,V55S0P1,Cible
