,jobName,logFile,recordType,stageName,stageType
1,FTSACChrgCtr00TrfOraVidageFtAgm,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_AGM,OracleConnector
2,FTSACChrgCtr011OraHfGenAgmIpid,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_AGM_IP_ETL,OracleConnector
3,FTSACChrgCtr012HfOraIp,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_AGM_IP,OracleConnector
4,FTSACChrgCtr01HfOraIp,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_AGM_IP_CEDANT,OracleConnector
5,FTSACChrgCtr01HfOraIp,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_AGM_IP_CESSNR,OracleConnector
6,FTSACChrgCtr01HfOraIpEtl,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_AGM_IP_ETL_Cedant,OracleConnector
7,FTSACChrgCtr01HfOraIpEtl,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_AGM_IP_ETL_Cessnr,OracleConnector
8,FTSACChrgCtr02HfOraWrdIpCedant,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,RSP_WrdIpCedant,RowSplitter
9,FTSACChrgCtr02HfOraWrdIpCedant,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_IP_WORD,OracleConnector
10,FTSACChrgCtr03HfOraWrdIpCessnr,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,RSP_WrdIpCessnr,RowSplitter
11,FTSACChrgCtr03HfOraWrdIpCessnr,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_IP_WORD,OracleConnector
12,FTSACChrgCtr04HfOraAgm,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_AGM_AGM,OracleConnector
13,FTSACChrgCtr05HfOraNat,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_AGM_NAT_ID,OracleConnector
14,FTSACChrgCtr06HfOraSoc,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_AGM_CONCERNED_SOCIETIES_MEC,OracleConnector
15,FTSACChrgCtr06HfOraSoc,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_AGM_CONCERNED_SOCIETIES_PER,OracleConnector
16,FTSACChrgCtr07HfOraRight,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_AGM_RIGHT_MR,OracleConnector
17,FTSACChrgCtr07HfOraRight,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_AGM_RIGHT_PR,OracleConnector
18,FTSACChrgCtr08HfOraCatalOwner,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_AGM_CATALOGUE_OWNER,OracleConnector
19,FTSACChrgCtr09HfOraWrdCatalOwner,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,RSP_CatOwnerWord,RowSplitter
20,FTSACChrgCtr09HfOraWrdCatalOwner,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_CATOWNER_WORD,OracleConnector
21,FTSACChrgCtr10HfOraCatal,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_AGM_CATALOGUE_E,OracleConnector
22,FTSACChrgCtr10HfOraCatal,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,Copy_of_ORA_AGM_CATALOGUE_SE,OracleConnector
23,FTSACChrgCtr11HfOraScheduleAndWrk,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_AGM_SCHEDULE_AND_WRKSPER,OracleConnector
24,FTSACChrgCtr11HfOraScheduleAndWrk,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_AGM_MAXSCHEDULE,OracleConnector
25,FTSACChrgCtr11HfOraScheduleAndWrk,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_AGM_MAXWRK,OracleConnector
26,FTSACChrgCtr11HfOraScheduleAndWrk,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_AGM_SCHEDULE_AND_WRKMEC,OracleConnector
27,FTSACChrgCtr11HfOraScheduleAndWrk,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_AGM_SCHEDULE_AND_WRKPER,OracleConnector
28,FTSACChrgCtr11HfOraScheduleAndWrk,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,Copy_3_of_ORA_AGM_SCHEDULE_AND_WRKMEC,OracleConnector
29,FTSACChrgCtr12HfOraWrdTitles,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,RSP_TitlesWord,RowSplitter
30,FTSACChrgCtr12HfOraWrdTitles,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_TITLES_WORD,OracleConnector
31,FTSACChrgCtr13HfOraAut,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_AGM_AUTHOR,OracleConnector
32,FTSACChrgCtr14HfOraAutWrk,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_AGM_AUTHOR_WRK,OracleConnector
33,FTSACChrgCtr99TrfOraRollback,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_AGM_ALL,OracleConnector
34,FTSACChrgOeuvV301FfHfSplitFicAjtMaj,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,RSP_INS,RowSplitter
35,FTSACChrgOeuvV301FfHfSplitFicAjtMaj,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,RSP_WIA,RowSplitter
36,FTSACChrgOeuvV301FfHfSplitFicAjtMaj,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,RSP_HDR,RowSplitter
37,FTSACChrgOeuvV301FfHfSplitFicAjtMaj,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,RSP_WIU,RowSplitter
