,jobName,logFile,recordType,stageName,stageType
1,CopyOfOCTAVExtrProgTypPourUlyss10OraFfCreFicEvt,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA115_OCTAVV_DSTG_PROGTYPSTATUT,OracleConnector
2,CopyOfOCTAVExtrProgTypPourUlyss20TrfOraMajEvt,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA115_PROGTYPSTATUT,OracleConnector
3,Jx_OCTAV01LecSeqFicSacemItuSelol,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,DS_CCID_SACEM_ITU,PxDataSet
4,Jx_OCTAV01LecSeqFicSacemItuSelol,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,MOD_CCID_SACEM_ITU,PxModify
5,Jx_OCTAV01LecSeqFicSacemItuSelol,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,SEQ_CCID_SACEM_ITU,PxSequentialFile
6,Jx_OCTAV02ExtTmpAppleccidInoms,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,TABLE_OCTAV,OracleConnectorPX
7,Jx_OCTAV02ExtTmpAppleccidInoms,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,DS_EXTRACT_OCTAV,PxDataSet
8,Jx_OCTAV03RapproOctavSelol,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,JOI_CCID,PxJoin
9,Jx_OCTAV03RapproOctavSelol,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,CP_CCID_SACEM_ITU,PxCopy
10,Jx_OCTAV03RapproOctavSelol,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,RD_CCID,PxRemDup
11,Jx_OCTAV03RapproOctavSelol,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,MOD_EXTRACT_OCTAV,PxModify
12,Jx_OCTAV03RapproOctavSelol,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,TMP_APPLE_PRO,OracleConnectorPX
13,Jx_OCTAV03RapproOctavSelol,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,DS_EXTRACT_OCTAV,PxDataSet
14,Jx_OCTAV03RapproOctavSelol,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,DS_CCID_SACEM_ITU,PxDataSet
15,Jx_OCTAV04RankWorkCodeNom,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,TMP_APPLE_PRO,OracleConnectorPX
16,Jx_OCTAV04RankWorkCodeNom,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,CP_APPLE,PxCopy
17,Jx_OCTAV04RankWorkCodeNom,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,TMP_APPLE_PRO_NUM,OracleConnectorPX
18,Jx_OCTAV05EcrSeqCCIDv13,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,TMP_REGROUPE,OracleConnectorPX
19,Jx_OCTAV05EcrSeqCCIDv13,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,SEQ_REGROUPE,PxSequentialFile
20,Jx_SQL_vers_Oracle,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,Ora_Cible,OracleConnectorPX
21,Jx_SQL_vers_Oracle,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,Cp_01,PxCopy
22,Jx_SQL_vers_Oracle,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,Ora_Source,OracleConnectorPX
23,OCTAVChrgDecltCwrPivot00OraHfVerifDejaChrg,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_OCTAVV_DSTG_CWRFIC,OracleConnector
24,OCTAVChrgDecltCwrPivot01FfHfExtrFic,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,RWS_FIC,RowSplitter
25,OCTAVChrgDecltCwrPivot01FfHfExtrFic,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,RWS_OEUV,RowSplitter
26,OCTAVChrgDecltCwrPivot01FfHfExtrFic,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,RWS_TITR,RowSplitter
27,OCTAVChrgDecltCwrPivot01FfHfExtrFic,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,RWS_AD,RowSplitter
28,OCTAVChrgDecltCwrPivot01FfHfExtrFic,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,RWS_LIG,RowSplitter
29,OCTAVChrgDecltCwrPivot02HfOraChrgEnrgtOeuv,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_OCTAVV_DSTG_CWROEUV,OracleConnector
30,OCTAVChrgDecltCwrPivot03HfOraChrgEnrgtTitr,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_OCTAVV_DSTG_CWRTITR,OracleConnector
31,OCTAVChrgDecltCwrPivot04HfOraChrgEnrgtAd,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_OCTAVV_DSTG_CWRAD,OracleConnector
32,OCTAVChrgDecltCwrPivot05HfOraChrgEnrgtFic,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_OCTAVV_DSTG_CWRFIC,OracleConnector
33,OCTAVChrgDecltCwrPivot06HfOraChrgEnrgtLig,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_OCTAVV_DSTG_CWRLIG,OracleConnector
34,OCTAVChrgDecltCwrRDOPivot00OraHfVerifDejaChrg,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA115_OCTAVT_CWRFIC,OracleConnector
35,OCTAVChrgDecltCwrRDOPivot01FfHfExtrFic,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,RWS_FIC,RowSplitter
36,OCTAVChrgDecltCwrRDOPivot01FfHfExtrFic,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,RWS_OEUV,RowSplitter
37,OCTAVChrgDecltCwrRDOPivot01FfHfExtrFic,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,RWS_TITR,RowSplitter
38,OCTAVChrgDecltCwrRDOPivot01FfHfExtrFic,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,RWS_AD,RowSplitter
39,OCTAVChrgDecltCwrRDOPivot02HfOraChrgEnrgtOeuv,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA115_OCTAVT_CWROEUV,OracleConnector
40,OCTAVChrgDecltCwrRDOPivot03HfOraChrgEnrgtTitr,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA115_OCTAVT_CWRTITR,OracleConnector
41,OCTAVChrgDecltCwrRDOPivot04HfOraChrgEnrgtAd,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA115_OCTAVT_CWRAD,OracleConnector
42,OCTAVChrgDecltCwrRDOPivot04HfOraChrgEnrgtAd,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_CESAR_cesarv_nom,OracleConnector
43,OCTAVChrgDecltCwrRDOPivot05HfOraChrgEnrgtFic,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA115_OCTAVT_CWRFIC,OracleConnector
44,OCTAVChrgDecltCwrRDOPivot06HfOraChrgEnrgtDepotOeuv,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA115_OCTAVTJ_DEPOTOEUV,OracleConnector
45,OCTAVChrgOeuvDecltDocex01FfOraChrgOeuvDeclt,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA115_OCTAVV_DSTG_OEUVDECLT,OracleConnector
46,OCTAVChrgOeuvDecltDocex02FfOraChrgTitrDeclt,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA115_OCTAVV_DSTG_TITRDECLT,OracleConnector
47,OCTAVChrgOeuvDecltDocex03FfOraChrgADDeclt,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA115_OCTAVV_DSTG_ADDECLT,OracleConnector
48,OCTAVChrgOeuvDecltDocex04FfOraChrgRolADDeclt,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA115_OCTAVV_DSTG_ROLADDECLT,OracleConnector
49,OCTAVChrgOeuvDecltDocex05FfOraChrgRelatADDeclt,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA115_OCTAVV_DSTG_RELATADDECLT,OracleConnector
50,OCTAVChrgOeuvDecltDocex06OraOraMajDatExtract,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA115_OCTAVV_DSTG_OEUVDECLT,OracleConnector
51,OCTAVExtrProgTypPourUlyss10OraFfCreFicEvt,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA115_OCTAVV_DSTG_PROGTYPSTATUT,OracleConnector
52,OCTAVExtrProgTypPourUlyss20TrfOraMajEvt,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA115_PROGTYPSTATUT,OracleConnector
53,STECHCreFicJournal,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,SORT_Journal,sort
