,jobName,logFile,recordType,stageName,stageType
1,DOCEXChrgOctavDocex1OraHfRecupDatExtr,DOCprdSeqONIDEExtrOniEdtrlog.txt,CustomStage,ORA_DOCEXTR_PARAMAPPLI_IN,OracleConnector
2,DOCEXChrgOctavDocex2OrafOraSuprProgTyp,DOCprdSeqONIDEExtrOniEdtrlog.txt,CustomStage,ORA_DOCEXT_PROGTYP,OracleConnector
3,DOCEXChrgOctavDocex2OrafOraSuprProgTyp,DOCprdSeqONIDEExtrOniEdtrlog.txt,CustomStage,ORA_OCTAVV_PROGTYP_IN,OracleConnector
4,DOCEXChrgOctavDocex3OraOraInsProgTyp,DOCprdSeqONIDEExtrOniEdtrlog.txt,CustomStage,ORA_DOCEXT_PROGTYP,OracleConnector
5,DOCEXChrgOctavDocex3OraOraInsProgTyp,DOCprdSeqONIDEExtrOniEdtrlog.txt,CustomStage,ORA_OCTAVV_PROGTYP,OracleConnector
6,DOCEXChrgOctavDocex4OraOraInsOeuvProgTyp,DOCprdSeqONIDEExtrOniEdtrlog.txt,CustomStage,ORA_DOCEXT_OEUVPROGTYP,OracleConnector
7,DOCEXChrgOctavDocex4OraOraInsOeuvProgTyp,DOCprdSeqONIDEExtrOniEdtrlog.txt,CustomStage,ORA_OCTAVV_OEUVPROGTYP,OracleConnector
8,DOCEXChrgOctavDocex5OraOraInsPartptOeuvProgTyp,DOCprdSeqONIDEExtrOniEdtrlog.txt,CustomStage,ORA_DOCEXT_PARTPTOEUVPROGTYP,OracleConnector
9,DOCEXChrgOctavDocex5OraOraInsPartptOeuvProgTyp,DOCprdSeqONIDEExtrOniEdtrlog.txt,CustomStage,ORA_OCTAVV_PARTPTOEUVPROGTYP,OracleConnector
10,DOCEXChrgOctavDocex6TrfOraMajDatExtr,DOCprdSeqONIDEExtrOniEdtrlog.txt,CustomStage,ORA_DOCEXTR_PARAMAPPLI,OracleConnector
11,DOCEXExtrOeuvDecltOctav1OraFfExtrOeuvDeclt,DOCprdSeqONIDEExtrOniEdtrlog.txt,CustomStage,ORA_DOCEXT_OEUVDECLT_IN,OracleConnector
12,DOCEXExtrOeuvDecltOctav2OraFfExtrTitrDeclt,DOCprdSeqONIDEExtrOniEdtrlog.txt,CustomStage,ORA_DOCEXT_TITRDECLT_IN,OracleConnector
13,DOCEXExtrOeuvDecltOctav3OraFfExtrADDeclt,DOCprdSeqONIDEExtrOniEdtrlog.txt,CustomStage,ORA_DOCEXT_ADDECLT_IN,OracleConnector
14,DOCEXExtrOeuvDecltOctav4OraFfExtrRolADDeclt,DOCprdSeqONIDEExtrOniEdtrlog.txt,CustomStage,ORA_DOCEXTJ_ROLADDECLT_IN,OracleConnector
15,DOCEXExtrOeuvDecltOctav5OraFfExtrRelatADDeclt,DOCprdSeqONIDEExtrOniEdtrlog.txt,CustomStage,ORA_DOCEXTJ_RELATADDECLT_IN,OracleConnector
16,DOCEXExtrOeuvDecltOctav6OraOraMajDatExtract,DOCprdSeqONIDEExtrOniEdtrlog.txt,CustomStage,ORA_DOCEXT_OEUVDECLT_OUT,OracleConnector
17,DOCEXExtrOeuvDecltOctav6OraOraMajDatExtract,DOCprdSeqONIDEExtrOniEdtrlog.txt,CustomStage,ORA_DOCEXT_OEUVDECLT_IN,OracleConnector
