,jobName,logFile,recordType,stageName,stageType
1,COPSSExtrBI41OraFfExtrPartitionFact,MGTprdSeqLABISChrgSrcChrgOCTAVlog.txt,CustomStage,ORA_COPSS,ORAOCI9
2,COPSSExtrBI42OraFfExtrPartitionLetr,MGTprdSeqLABISChrgSrcChrgOCTAVlog.txt,CustomStage,ORA_COPSS,ORAOCI9
3,COPSSExtrBI43OraFfExtrCpteCli,MGTprdSeqLABISChrgSrcChrgOCTAVlog.txt,CustomStage,ORA_COPSS,ORAOCI9
4,COPSSExtrBI44OraFfExtrPaie,MGTprdSeqLABISChrgSrcChrgOCTAVlog.txt,CustomStage,ORA_COPSS,ORAOCI9
5,COPSSExtrBI45OraFfExtrSociete,MGTprdSeqLABISChrgSrcChrgOCTAVlog.txt,CustomStage,ORA_COPSS,ORAOCI9
6,COPSSExtrBI47OraFfExtrBudget,MGTprdSeqLABISChrgSrcChrgOCTAVlog.txt,CustomStage,ORA_COPSS,ORAOCI9
7,COPSSExtrBI48OraFfExtrSupport,MGTprdSeqLABISChrgSrcChrgOCTAVlog.txt,CustomStage,ORA_COPSS,ORAOCI9
8,COPSSExtrBI49OraFfExtrPlanCpta,MGTprdSeqLABISChrgSrcChrgOCTAVlog.txt,CustomStage,ORA_COPSS_PLAN_CPTA,ORAOCI9
9,COPSSExtrBI50OraFfExtrEcriture,MGTprdSeqLABISChrgSrcChrgOCTAVlog.txt,CustomStage,ORA_COPSS_ECRITURE,ORAOCI9
10,COPSSExtrBI51OraFfExtrTypeCompte,MGTprdSeqLABISChrgSrcChrgOCTAVlog.txt,CustomStage,ORA_COPSS_TYPE_COMPTE,ORAOCI9
11,COPSSExtrBI52OraFfExtrLigneEcriture,MGTprdSeqLABISChrgSrcChrgOCTAVlog.txt,CustomStage,ORA_V_LIGNE_ECRITURE,ORAOCI9
12,CopyOfCopyOfJx_LABISValidODSfSELDR02Trans18CONTRATROLE,MGTprdSeqLABISChrgSrcChrgOCTAVlog.txt,CustomStage,Sequential_File_159,PxSequentialFile
13,CopyOfCopyOfJx_LABISValidODSfSELDR02Trans18CONTRATROLE,MGTprdSeqLABISChrgSrcChrgOCTAVlog.txt,CustomStage,Column_Generator_145,PxColumnGenerator
14,CopyOfCopyOfJx_LABISValidODSfSELDR02Trans18CONTRATROLE,MGTprdSeqLABISChrgSrcChrgOCTAVlog.txt,CustomStage,Sort_141,PxSort
15,CopyOfCopyOfJx_LABISValidODSfSELDR02Trans18CONTRATROLE,MGTprdSeqLABISChrgSrcChrgOCTAVlog.txt,CustomStage,Ds_LABISValidODSfSELDR01Extr05_OKC_K_PARTY_ROLES_B,PxDataSet
16,CopyOfJx_From_H2_Oracle,MGTprdSeqLABISChrgSrcChrgOCTAVlog.txt,CustomStage,Jn_01,PxJoin
17,CopyOfJx_From_H2_Oracle,MGTprdSeqLABISChrgSrcChrgOCTAVlog.txt,CustomStage,Cp_02,PxCopy
18,CopyOfJx_From_H2_Oracle,MGTprdSeqLABISChrgSrcChrgOCTAVlog.txt,CustomStage,Ora_Cible,OracleConnectorPX
19,CopyOfJx_From_H2_Oracle,MGTprdSeqLABISChrgSrcChrgOCTAVlog.txt,CustomStage,Cp_00,PxCopy
20,CopyOfJx_From_H2_Oracle,MGTprdSeqLABISChrgSrcChrgOCTAVlog.txt,CustomStage,Ora_PENEF,OracleConnectorPX
21,CopyOfJx_From_H2_Oracle,MGTprdSeqLABISChrgSrcChrgOCTAVlog.txt,CustomStage,Sf_H2,PxSequentialFile
22,CopyOfJx_From_H2_Oracle,MGTprdSeqLABISChrgSrcChrgOCTAVlog.txt,CustomStage,Cp_01,PxCopy
