,jobName,logFile,recordType,stageName,stageType
1,CLIPIChrgRejFulipFfOraDbsoc,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_TRIPIT_DBSOC,OracleConnector
2,CLIPIDomainsFfIpiceChrgNameUsg,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_IPICE_NAMEUSG_IN,OracleConnector
3,CLIPIDomainsFfIpiceChrgNameUsg,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_IPICE_NAMEUSG,OracleConnector
4,CLIPIDomainsFfIpiceChrgRgt,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_IPICE_RGT,OracleConnector
5,CLIPIDomainsFfIpiceChrgRgt,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_IPICE_RGT_IN,OracleConnector
6,CLIPIDomainsFfIpiceChrgRis,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_IPICE_RIS,OracleConnector
7,CLIPIDomainsFfIpiceChrgRis,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_IPICE_RIS_IN,OracleConnector
8,CLIPIDomainsFfIpiceChrgSoc,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_IPICE_SOC,OracleConnector
9,CLIPIDomainsFfIpiceChrgSop,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_IPICE_SOP_IN,OracleConnector
10,CLIPIDomainsFfIpiceChrgSop,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_IPICE_SOP,OracleConnector
11,CLIPIDomainsFfIpiceChrgStscde,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_IPI_STSCDE,OracleConnector
12,CLIPIDomainsFfIpiceChrgStscde,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_IPI_STSCDE_IN,OracleConnector
13,CLIPIDomainsFfIpiceChrgTis,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_IPICE_TIS_IN,OracleConnector
14,CLIPIDomainsFfIpiceChrgTis,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_IPICE_TIS,OracleConnector
15,CLIPIDownloadTripiChrgBduMaaMauMad,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_TRIPIT_EDI_HEADER,OracleConnector
16,CLIPIDownloadTripiChrgBduMaaMauMad,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_TRIPI_OUT_DOWNLOAD_EDI,OracleConnector
17,CLIPIDownloadTripiChrgBduMaaMauMad,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_TRIPI_OUT_HEADER,OracleConnector
18,CLIPIDownloadTripiChrgIpa,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_TRIPI_IN,OracleConnector
19,CLIPIDownloadTripiChrgIpa,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_TRIPI_OUT_DOWNLOAD_EDI,OracleConnector
20,CLIPIDownloadTripiChrgIpa,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_TRIPI_OUT_HEDEAR,OracleConnector
21,CLIPIDownloadTripiChrgNca,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_TRIPI_IN,OracleConnector
22,CLIPIDownloadTripiChrgNca,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_TRIPI_OUT_DOWNLOAD_EDI,OracleConnector
23,CLIPIDownloadTripiChrgNca,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_TRIPI_OUT_HEADER,OracleConnector
24,CLIPIDownloadTripiChrgNcu,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_TRIPI_IN,OracleConnector
25,CLIPIDownloadTripiChrgNcu,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_TRIPI_OUT_DOWNLOAD_EDI,OracleConnector
26,CLIPIDownloadTripiChrgNcu,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_TRIPI_OUT_HEADER,OracleConnector
27,CLIPIDownloadTripiChrgNpa,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_TRIPI_IN,OracleConnector
28,CLIPIDownloadTripiChrgNpa,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_TRIPI_OUT_DOWNLOAD_EDI,OracleConnector
29,CLIPIDownloadTripiChrgNpa,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_TRIPI_OUT_HEADER,OracleConnector
30,CLIPIDownloadTripiChrgNtaNtd,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_TRIPI_IN,OracleConnector
31,CLIPIDownloadTripiChrgNtaNtd,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_TRIPI_OUT_DOWNLOAD_EDI,OracleConnector
32,CLIPIDownloadTripiChrgNtaNtd,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_TRIPI_OUT_HEADER,OracleConnector
33,CLIPIDownloadTripiChrgNtu,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_TRIPI_IN,OracleConnector
34,CLIPIDownloadTripiChrgNtu,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_TRIPI_OUT_DOWNLOAD_EDI,OracleConnector
35,CLIPIDownloadTripiChrgNtu,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_TRIPI_OUT_HEADER,OracleConnector
36,CLIPIDownloadTripiChrgSta,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_TRIPIT_EDI_HEADER,OracleConnector
