,jobName,logFile,recordType,stageName,stageType
1,CopyOfOSCARExtrCoordPourSocex00OraFfInsee,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_OSCART_PERSPORTL,OracleConnector
2,CopyOfOSCARExtrCoordPourSocex01OraFfAdr,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_OSCART_ADRPORTL,OracleConnector
3,CopyOfOSCARExtrCoordPourSocex02OraFfNumTel,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_OSCART_NUMTELPORTL,OracleConnector
4,CopyOfOSCARExtrCoordPourSocex03OraFfAdrElec,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_OSCART_ADRELECPORTL,OracleConnector
5,CopyOfOSCARExtrCoordPourSocex04HfOraAdr,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_OSCART_ADRPORTL,OracleConnector
6,CopyOfOSCARExtrCoordPourSocex05HfOraNumTel,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_OSCART_NUMTELPORTL,OracleConnector
7,CopyOfOSCARExtrCoordPourSocex06HfOraAdrElec,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_OSCART_ADRELECPORTL,OracleConnector
8,CopyOfOSCARExtrCoordPourSocex07HfOraInsee,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_OSCART_PERSPORTL,OracleConnector
9,CopyOfOSCARMajVotElecOscarFfOraDatVotElec,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_OSCART_PERS,OracleConnector
10,CopyOfOSCARMajVotElecOscarFfOraDatVotElec,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,RSP_FF_SACEM_VOTEAG,RowSplitter
11,CopyOfOSCARMajVotElecOscarFfOraDatVotElec,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_OSCART_PERS_NumPers,OracleConnector
12,CopyOfOSCARMajVotElecOscarFfOraDatVotElec,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_OSCART_PERS_DatVoteNull,OracleConnector
13,OSCARDechrgDbOeuvOraFfOV0614,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_OSCART_SGPECOAD,OracleConnector
14,OSCARDechrgDbOeuvOraFfOV0615,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_OSCART_GPEFEUIL,OracleConnector
15,OSCARDechrgDbOeuvOraFfOV0616,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_OSCART_COAD,OracleConnector
16,OSCARDechrgDbOeuvOraFfOV0617,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_OSCARTJ_EQUIVFINAL,OracleConnector
17,OSCARDechrgDbsoc00MajParamBlocage,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_OSCARTR_PARAMAPPLI,OracleConnector
18,OSCARDechrgDbsoc00MajParamBlocage,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_OSCARTR_PARAMAPPLI3,OracleConnector
19,OSCARDechrgDbsoc00MajParamBlocage,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_OSCARTR_PARAMAPPLI2,OracleConnector
20,OSCARDechrgDbSoc01OraHfNumExtr,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_OSCARV_EXTRACT,OracleConnector
21,OSCARDechrgDbSoc01OraHfNumExtr,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_OSCART_DBSOC,OracleConnector
22,OSCARDechrgDbSoc02OraHfInvlid,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_OSCART_DBSOC,OracleConnector
23,OSCARDechrgDbSoc03OraHfRolDos,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_JOIN_RolDos,OracleConnector
24,OSCARDechrgDbSoc04OraHfStatutDos,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_JOIN_StatutDos,OracleConnector
25,OSCARDechrgDbSoc05OraFfSo0510,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_OSCART_PERS,OracleConnector
26,OSCARDechrgDbSoc05OraFfSo0510,UTIprdBatch__ULYSSExtrProgPourFelixlog.txt,CustomStage,ORA_OSCART_EVTFus,OracleConnector
