,jobName,logFile,recordType,stageName,stageType
1,CopyOfIDOLSChrgTEFfHfRecupCleMajCLL2,UTIprdIDOLSChrgTEHfOraChrgWrdWulog.txt,CustomStage,RSP_Type60,RowSplitter
2,CopyOfIDOLSChrgTEFfHfRecupCleMajCLL2_AA,UTIprdIDOLSChrgTEHfOraChrgWrdWulog.txt,CustomStage,RSP_Type40,RowSplitter
3,CopyOfIDOLSChrgTEFfHfRecupCleMajCLL2_AA,UTIprdIDOLSChrgTEHfOraChrgWrdWulog.txt,CustomStage,RSP_Type60,RowSplitter
4,CopyOfIDOLSChrgTEFfHfRecupCleMajCLL2_AA,UTIprdIDOLSChrgTEHfOraChrgWrdWulog.txt,CustomStage,SRT_CtlNrSeqNr,sort
5,IDOLSChrgEdtrNumpers10FfOraBUYOUT,UTIprdIDOLSChrgTEHfOraChrgWrdWulog.txt,CustomStage,ORA_SCRI_BUYOUT,OracleConnector
6,IDOLSChrgEdtrNumpers10FfOraBUYOUT,UTIprdIDOLSChrgTEHfOraChrgWrdWulog.txt,CustomStage,RSP_BUYOUTSelvp,RowSplitter
7,IDOLSChrgEdtrNumpers10FfOraNumpers,UTIprdIDOLSChrgTEHfOraChrgWrdWulog.txt,CustomStage,ORA_IDOSRTR_EDTRNUMPERS,OracleConnector
8,IDOLSChrgEdtrNumpers10FfOraNumpers,UTIprdIDOLSChrgTEHfOraChrgWrdWulog.txt,CustomStage,RSP_EDTRNUMPERSOscar,RowSplitter
9,IDOLSChrgRCS20InitHfFilial,UTIprdIDOLSChrgTEHfOraChrgWrdWulog.txt,CustomStage,ORA_SAREFTR_FILIAL,OracleConnector
10,IDOLSChrgRCS20InitHfPerio,UTIprdIDOLSChrgTEHfOraChrgWrdWulog.txt,CustomStage,ORA_SAREFTR_PERIO,OracleConnector
11,IDOLSChrgRCS20InitLstFic,UTIprdIDOLSChrgTEHfOraChrgWrdWulog.txt,CustomStage,FLD_RepSrc,Folder
12,IDOLSChrgRCS21OraHfPrdRcs,UTIprdIDOLSChrgTEHfOraChrgWrdWulog.txt,CustomStage,ORA_IDOSRT_ENTETVTE,OracleConnector
13,IDOLSChrgRCS21SplitFicSrc,UTIprdIDOLSChrgTEHfOraChrgWrdWulog.txt,CustomStage,CFF_RCS2,CFF
14,IDOLSChrgRCS22TransfoDetVteModif,UTIprdIDOLSChrgTEHfOraChrgWrdWulog.txt,CustomStage,Pivot,Pivot
15,IDOLSChrgRCS22TransfoEntetVte,UTIprdIDOLSChrgTEHfOraChrgWrdWulog.txt,CustomStage,Link_Collector,CCollector
16,IDOLSChrgRCS23SupprVte,UTIprdIDOLSChrgTEHfOraChrgWrdWulog.txt,CustomStage,ORA_IDOSR_TablesVTE,OracleConnector
17,IDOLSChrgRCS24InserDetVte,UTIprdIDOLSChrgTEHfOraChrgWrdWulog.txt,CustomStage,ORA_IDOSRT_DETVTE,OracleConnector
18,IDOLSChrgRCS24InserDetVteModif,UTIprdIDOLSChrgTEHfOraChrgWrdWulog.txt,CustomStage,ORA_IDOSRT_DETVTEMODIF,OracleConnector
19,IDOLSChrgRCS24InserEntetVte,UTIprdIDOLSChrgTEHfOraChrgWrdWulog.txt,CustomStage,ORA_IDOSR,OracleConnector
20,IDOLSChrgRCS24InserEntetVtetest,UTIprdIDOLSChrgTEHfOraChrgWrdWulog.txt,CustomStage,ORA_IDOSR,OracleConnector
21,IDOLSChrgRCS24InserPerio,UTIprdIDOLSChrgTEHfOraChrgWrdWulog.txt,CustomStage,ORA_IDOSRT_PERIO,OracleConnector
22,IDOLSChrgRCS2OraHfChckAnalyze,UTIprdIDOLSChrgTEHfOraChrgWrdWulog.txt,CustomStage,ORA_USER_TAB_STATS,OracleConnector
23,IDOLSChrgTEFfHfRecupCleMajCLL2,UTIprdIDOLSChrgTEHfOraChrgWrdWulog.txt,CustomStage,RSP_Type40,RowSplitter
24,IDOLSChrgTEFfHfRecupCleMajCLL2,UTIprdIDOLSChrgTEHfOraChrgWrdWulog.txt,CustomStage,RSP_Type60,RowSplitter
25,IDOLSChrgTEFfHfRecupCleMajCLL2,UTIprdIDOLSChrgTEHfOraChrgWrdWulog.txt,CustomStage,SRT_CtlNrSeqNr,sort
26,IDOLSChrgTEFfHfRecupCleMajCLL2_23012019,UTIprdIDOLSChrgTEHfOraChrgWrdWulog.txt,CustomStage,RSP_Type60,RowSplitter
27,IDOLSChrgTEFfHfRecupCleMajCLL2_AA_25032019,UTIprdIDOLSChrgTEHfOraChrgWrdWulog.txt,CustomStage,RSP_Type60,RowSplitter
28,IDOLSChrgTEFfHfRecupCleMajCLL2_save_20180215,UTIprdIDOLSChrgTEHfOraChrgWrdWulog.txt,CustomStage,RSP_Type40,RowSplitter
29,IDOLSChrgTEFfHfRecupCleMajCLL2_save_20180215,UTIprdIDOLSChrgTEHfOraChrgWrdWulog.txt,CustomStage,RSP_Type60,RowSplitter
30,IDOLSChrgTEFfHfRecupCleMajCLL2_save_20180215,UTIprdIDOLSChrgTEHfOraChrgWrdWulog.txt,CustomStage,SRT_CtlNrSeqNr,sort
31,IDOLSChrgTEFfHfSplitCLL2,UTIprdIDOLSChrgTEHfOraChrgWrdWulog.txt,CustomStage,RSP_Type40,RowSplitter
32,IDOLSChrgTEFfHfSplitCLL2,UTIprdIDOLSChrgTEHfOraChrgWrdWulog.txt,CustomStage,RSP_Type50,RowSplitter
33,IDOLSChrgTEFfHfSplitCLL2,UTIprdIDOLSChrgTEHfOraChrgWrdWulog.txt,CustomStage,RSP_Type13,RowSplitter
34,IDOLSChrgTEFfHfSplitCLL2,UTIprdIDOLSChrgTEHfOraChrgWrdWulog.txt,CustomStage,RSP_Type12,RowSplitter
35,IDOLSChrgTEFfHfSplitCLL2,UTIprdIDOLSChrgTEHfOraChrgWrdWulog.txt,CustomStage,RSP_Type15,RowSplitter
36,IDOLSChrgTEFfHfSplitCLL2,UTIprdIDOLSChrgTEHfOraChrgWrdWulog.txt,CustomStage,RSP_Type61,RowSplitter
37,IDOLSChrgTEFfHfSplitCLL2,UTIprdIDOLSChrgTEHfOraChrgWrdWulog.txt,CustomStage,RSP_Type70,RowSplitter
38,IDOLSChrgTEFfHfSplitCLL2,UTIprdIDOLSChrgTEHfOraChrgWrdWulog.txt,CustomStage,RSP_Type60,RowSplitter
39,IDOLSChrgTEFfHfSplitCLL2save20180215,UTIprdIDOLSChrgTEHfOraChrgWrdWulog.txt,CustomStage,RSP_Type40,RowSplitter
40,IDOLSChrgTEFfHfSplitCLL2save20180215,UTIprdIDOLSChrgTEHfOraChrgWrdWulog.txt,CustomStage,RSP_Type50,RowSplitter
41,IDOLSChrgTEFfHfSplitCLL2save20180215,UTIprdIDOLSChrgTEHfOraChrgWrdWulog.txt,CustomStage,RSP_Type13,RowSplitter
42,IDOLSChrgTEFfHfSplitCLL2save20180215,UTIprdIDOLSChrgTEHfOraChrgWrdWulog.txt,CustomStage,RSP_Type12,RowSplitter
43,IDOLSChrgTEFfHfSplitCLL2save20180215,UTIprdIDOLSChrgTEHfOraChrgWrdWulog.txt,CustomStage,RSP_Type15,RowSplitter
44,IDOLSChrgTEFfHfSplitCLL2save20180215,UTIprdIDOLSChrgTEHfOraChrgWrdWulog.txt,CustomStage,RSP_Type61,RowSplitter
45,IDOLSChrgTEFfHfSplitCLL2save20180215,UTIprdIDOLSChrgTEHfOraChrgWrdWulog.txt,CustomStage,RSP_Type70,RowSplitter
46,IDOLSChrgTEFfHfSplitCLL2save20180215,UTIprdIDOLSChrgTEHfOraChrgWrdWulog.txt,CustomStage,RSP_Type60,RowSplitter
47,IDOLSChrgTEHfHfMajPrdt,UTIprdIDOLSChrgTEHfOraChrgWrdWulog.txt,CustomStage,ORA_SCRI_PRDT,OracleConnector
48,IDOLSChrgTEHfHfMajWrk,UTIprdIDOLSChrgTEHfOraChrgWrdWulog.txt,CustomStage,ORA_SCRI_WRK,OracleConnector
49,IDOLSChrgTEHfHfMajWrk_22012019,UTIprdIDOLSChrgTEHfOraChrgWrdWulog.txt,CustomStage,ORA_SCRI_WRK,OracleConnector
50,IDOLSChrgTEHfHfRecupSndCarCde,UTIprdIDOLSChrgTEHfOraChrgWrdWulog.txt,CustomStage,ORA_SCRI_PRDTSNDCAR,OracleConnector
51,IDOLSChrgTEHfOraChrgFil,UTIprdIDOLSChrgTEHfOraChrgWrdWulog.txt,CustomStage,ORA_SCRI_FIL,OracleConnector
52,IDOLSChrgTEHfOraChrgLab,UTIprdIDOLSChrgTEHfOraChrgWrdWulog.txt,CustomStage,ORA_SCRI_LAB,OracleConnector
53,IDOLSChrgTEHfOraChrgPrdc,UTIprdIDOLSChrgTEHfOraChrgWrdWulog.txt,CustomStage,ORA_SCRI_PRDC,OracleConnector
54,IDOLSChrgTEHfOraChrgPrdt,UTIprdIDOLSChrgTEHfOraChrgWrdWulog.txt,CustomStage,ORA_SCRI_PRDT,OracleConnector
55,IDOLSChrgTEHfOraChrgPrdtSndCar,UTIprdIDOLSChrgTEHfOraChrgWrdWulog.txt,CustomStage,ORA_SCRI_PRDTSNDCAR,OracleConnector
56,IDOLSChrgTEHfOraChrgShdr,UTIprdIDOLSChrgTEHfOraChrgWrdWulog.txt,CustomStage,ORA_SCRI_SHDR,OracleConnector
57,IDOLSChrgTEHfOraChrgShdr,UTIprdIDOLSChrgTEHfOraChrgWrdWulog.txt,CustomStage,RSP_Shdr,RowSplitter
