"jobName","logFile","filePath"," realFilePath","datasetFile","realDatasetFilePath","recordType"
"LABISExtrOCTAV01OCTAVTR_MOTIFNONGEST","MGTprdLABISExtrOCTAV01OCTAVTR_MOTIFNONGESTlog.txt","NaN","NaN","#ParRepTmp#ExtrOCTAVTMOTIFNONGEST.ds"," ","CustomInput"
"Jx_LABISIntegDWHSELOL03Chrg21TYPUTIL","MGTprdSeqLABISIntegDWHSELOL01TransChrglog.txt","NaN","NaN","#ParRepDataset#Ds_LABISIntegDWHSELOL01ExtrTYPUTIL.ds"," ","CustomOutput"
"Jx_LABISIntegDWHSELOL02Trans03CTREXEC","MGTprdSeqLABISIntegDWHSELOL01TransChrglog.txt","NaN","NaN","#ParRepDataset#Ds_LABISIntegDWHSELOL02Trans03CTREXEC_Rejet.ds"," ","CustomInput"
"Jx_LABISIntegDWHSELOL02Trans03CTREXEC","MGTprdSeqLABISIntegDWHSELOL01TransChrglog.txt","NaN","NaN","#ParRepDataset#Ds_LABISIntegDWHSELOL02Trans03CTREXEC.ds"," ","CustomInput"
"Jx_LABISIntegDWHSELOL02Trans03CTREXEC","MGTprdSeqLABISIntegDWHSELOL01TransChrglog.txt","NaN","NaN","#ParRepDataset#Ds_LABISIntegDWHSELOL01ExtrCTREXEC.ds"," ","CustomOutput"
"Jx_LABISIntegDWHSELOL02Trans06OFFRESNOUVELLES","MGTprdSeqLABISIntegDWHSELOL01TransChrglog.txt","NaN","NaN","#ParRepDataset#Ds_LABISIntegDWHSELOL02Trans06OFFRESNOUVELLES.ds"," ","CustomInput"
"Jx_LABISIntegDWHSELOL02Trans06OFFRESNOUVELLES","MGTprdSeqLABISIntegDWHSELOL01TransChrglog.txt","NaN","NaN","#ParRepDataset#Ds_LABISIntegDWHSELOL01ExtrOFFRESNOUVELLES.ds"," ","CustomOutput"
"Jx_LABISIntegDWHSELOL02Trans09OFFRES","MGTprdSeqLABISIntegDWHSELOL01TransChrglog.txt","NaN","NaN","#ParRepDataset#Ds_LABISIntegDWHSELOL02Trans09OFFRES.ds"," ","CustomInput"
"Jx_LABISIntegDWHSELOL02Trans09OFFRES","MGTprdSeqLABISIntegDWHSELOL01TransChrglog.txt","NaN","NaN","#ParRepDataset#Ds_LABISIntegDWHSELOL01ExtrOFFRES.ds"," ","CustomOutput"
"Jx_LABISIntegDWHSELOL02Trans01CPTECLI","MGTprdSeqLABISIntegDWHSELOL01TransChrglog.txt","NaN","NaN","#ParRepDataset#Ds_LABISIntegDWHSELOL02Trans01CPTECLI.ds"," ","CustomInput"
