StageSource,File,StageCible
SF_FIC_COPSS_ROUTAGE_GED,AD_FEUILLETN_GED_REQ,SF_REJETS_BL_ROUTAGE_GED
SF_FIC_COPSS_ROUTAGE_GED,AD_FEUILLETN_GED_REQ,DS_FIC_COPSS_ROUTAGE_GED
DS_FIC_COPSS_ROUTAGE_GED,AD_FEUILLETN_GED_REQ,SF_REJETS_BL_ROUTAGE_GED
DS_FIC_COPSS_ROUTAGE_GED,AD_FEUILLETN_GED_REQ,DS_FIC_COPSS_ROUTAGE_GED
DS_01_EXTR_CTRL_WEBDR,DS_01_EXTR_CTRL_WEBDR,DS_01_EXTR_CTRL_WEBDR
DS_RAP_ROUTAGE_EDIT_OSCAR_PENEF_DECOMPTE,DS_RAP_ROUTAGE_EDIT_OSCAR_PENEF_DECOMPTE,DS_RAP_ROUTAGE_EDIT_OSCAR_PENEF_DECOMPTE
VALID_OCTAVT_PARTPT,Ds_LABISValidODSfOCTAV_PARTPT,VALID_OCTAVT_PARTPT
DS_EXTRACT_PENEF,DS_EXTRACT_PENEF,DS_EXTRACT_PENEF
CPTE_RENDU_REJETS,CPTE_RENDU_REJETS_BL,SF_CPTE_RENDU_REJETS
CPTE_RENDU_REJETS_INFO,CPTE_RENDU_REJETS_NB,CPTE_RENDU_REJETS
DS_RAP_ROUTAGE_GED_OSCAR_PENEF,DS_RAP_ROUTAGE_GED_OSCAR_PENEF,DS_RAP_ROUTAGE_GED_OSCAR_PENEF
SF_FIC_COPSS_ROUTAGE_EDIT,ROUTAG_FEUILLETN_EDIT_REQ,SF_REJETS_BL_ROUTAGE_EDIT
SF_FIC_COPSS_ROUTAGE_EDIT,ROUTAG_FEUILLETN_EDIT_REQ,SF_REJETS_NB_RAP_RELEVE_ROUTAGE_EDIT_OSCAR_PENEF
SF_FIC_COPSS_ROUTAGE_EDIT,ROUTAG_FEUILLETN_EDIT_REQ,SF_REJETS_NB_RAP_DECOMPTE_ROUTAGE_EDIT_OSCAR_PENEF
SF_FIC_COPSS_ROUTAGE_EDIT,ROUTAG_FEUILLETN_EDIT_REQ,SF_REJETS_FONC_NB_RAP_AUTOFACT_ROUTAGE_EDIT
